Title,Note,URL,Tags,Comment
Sushi Plus Rotary Sushi Bar South Loop,,https://www.google.com/maps/place/Sushi+Plus+Rotary+Sushi+Bar+South+Loop/data=!4m2!3m1!1s0x880e2d00441f374f:0x2406507c4078ae65,,
Kyuramen x TBaar - Downtown Chicago,,https://www.google.com/maps/place/Kyuramen+x+TBaar+-+Downtown+Chicago/data=!4m2!3m1!1s0x880e2d25f9cf1653:0xccdd7af40d1470e,,
"AMBAR Restaurant, Chicago",,"https://www.google.com/maps/place/AMBAR+Restaurant,+Chicago/data=!4m2!3m1!1s0x880e2cb32e0169fd:0xa7d0ea562550c1d1",,
MoonGoat Coffee,,https://www.google.com/maps/place/MoonGoat+Coffee/data=!4m2!3m1!1s0x80dd2944785eb8a7:0xfb64412bba6cc1c5,,
Stamina Yakiniku Harada,,https://www.google.com/maps/place/Stamina+Yakiniku+Harada/data=!4m2!3m1!1s0x6000e70274bb3b03:0x1c4708681630ba4a,,
LiLo Coffee Roasters,,https://www.google.com/maps/place/LiLo+Coffee+Roasters/data=!4m2!3m1!1s0x6000e71a9f6e3fd5:0xe2179a06c106d486,,
从这里开始烧肉 难波店,,https://www.google.com/maps/place/%E4%BB%8E%E8%BF%99%E9%87%8C%E5%BC%80%E5%A7%8B%E7%83%A7%E8%82%89+%E9%9A%BE%E6%B3%A2%E5%BA%97/data=!4m2!3m1!1s0x6000e7002bae1f2f:0x26e74dfdde923e2b,,
アペロ食堂｜お好み焼・ワインバー-大阪・北新地,,https://www.google.com/maps/place/%E3%82%A2%E3%83%9A%E3%83%AD%E9%A3%9F%E5%A0%82%EF%BD%9C%E3%81%8A%E5%A5%BD%E3%81%BF%E7%84%BC%E3%83%BB%E3%83%AF%E3%82%A4%E3%83%B3%E3%83%90%E3%83%BC-%E5%A4%A7%E9%98%AA%E3%83%BB%E5%8C%97%E6%96%B0%E5%9C%B0/data=!4m2!3m1!1s0x6000e74f43c78535:0x302606d8b1dd0149,,
ジェイ･プライド梅田永楽ビル,,https://www.google.com/maps/place/%E3%82%B8%E3%82%A7%E3%82%A4%EF%BD%A5%E3%83%97%E3%83%A9%E3%82%A4%E3%83%89%E6%A2%85%E7%94%B0%E6%B0%B8%E6%A5%BD%E3%83%93%E3%83%AB/data=!4m2!3m1!1s0x6000e78075f16c5f:0xe7206b879474ec55,,
ディアブロ道頓堀千日前店,,https://www.google.com/maps/place/%E3%83%87%E3%82%A3%E3%82%A2%E3%83%96%E3%83%AD%E9%81%93%E9%A0%93%E5%A0%80%E5%8D%83%E6%97%A5%E5%89%8D%E5%BA%97/data=!4m2!3m1!1s0x6000e7f6454be33b:0xc3d963f45955e809,,
Chibo Okonomiyaki Restaurant,,https://www.google.com/maps/place/Chibo+Okonomiyaki+Restaurant/data=!4m2!3m1!1s0x6000e714e0f7db93:0x9bdc7e61a5f722f1,,
Yawaragi,,https://www.google.com/maps/place/Yawaragi/data=!4m2!3m1!1s0x6000e7172c05d11b:0x9d9eedc8781550c3,,
Salon Tamago-to-watashi Lucua-osaka,,https://www.google.com/maps/place/Salon+Tamago-to-watashi+Lucua-osaka/data=!4m2!3m1!1s0x6000e7cdf4fb70b5:0xbcc498ec38a27c8a,,
Arabiya coffee,,https://www.google.com/maps/place/Arabiya+coffee/data=!4m2!3m1!1s0x6000e71498d21e05:0xf3c84562aeda373c,,
Genrokuzushi Sennichimae,,https://www.google.com/maps/place/Genrokuzushi+Sennichimae/data=!4m2!3m1!1s0x6000e76b160ed717:0x409659915dcab5d7,,
WOCCA ROCCA curry and...​​UJI,,https://www.google.com/maps/place/WOCCA+ROCCA+curry+and...%E2%80%8B%E2%80%8BUJI/data=!4m2!3m1!1s0x600111d08823fc81:0x8986dc26e2c612d1,,
Suwan,,https://www.google.com/maps/place/Suwan/data=!4m2!3m1!1s0x600111089650e755:0x272fa3fcf2850cf7,,
Torikiku,,https://www.google.com/maps/place/Torikiku/data=!4m2!3m1!1s0x6001110c61974a41:0x4b403000fb8b999d,,
ビアつかさ,,https://www.google.com/maps/place/%E3%83%93%E3%82%A2%E3%81%A4%E3%81%8B%E3%81%95/data=!4m2!3m1!1s0x600111808fab223f:0x47b1ab0e37b131ec,,
Tsujirihei Honten - Kyoto Uji Main Shop,,https://www.google.com/maps/place/Tsujirihei+Honten+-+Kyoto+Uji+Main+Shop/data=!4m2!3m1!1s0x60011107aff703bf:0x203d1b87885036c6,,
中村藤吉本店,,https://www.google.com/maps/place/%E4%B8%AD%E6%9D%91%E8%97%A4%E5%90%89%E6%9C%AC%E5%BA%97/data=!4m2!3m1!1s0x600111092eb28db1:0x72edd51680741747,,
中村藤吉平等院店,,https://www.google.com/maps/place/%E4%B8%AD%E6%9D%91%E8%97%A4%E5%90%89%E5%B9%B3%E7%AD%89%E9%99%A2%E5%BA%97/data=!4m2!3m1!1s0x6001110b9c0d3a23:0x8b7c73e8b7595727,,
Coffee & Restaurant Fresco,,https://www.google.com/maps/place/Coffee+%26+Restaurant+Fresco/data=!4m2!3m1!1s0x600107e7254fc235:0x45760523a452a237,,
Jun - Shijo Karasuma,,https://www.google.com/maps/place/Jun+-+Shijo+Karasuma/data=!4m2!3m1!1s0x6001090023540615:0x8197708e28f79231,,
Omura House,,https://www.google.com/maps/place/Omura+House/data=!4m2!3m1!1s0x6001085c61bf16fb:0x574b5ca275603443,,
"〒604-8365 Kyoto, Nakagyo Ward, Nishikiōmiyachō, 141",,"https://www.google.com/maps/place/%E3%80%92604-8365+Kyoto,+Nakagyo+Ward,+Nishiki%C5%8Dmiyach%C5%8D,+141/data=!4m2!3m1!1s0x600106291e76529f:0xc0b725c867226ef9",,
Japanese Noodle ISSUN BOUSHI,,https://www.google.com/maps/place/Japanese+Noodle+ISSUN+BOUSHI/data=!4m2!3m1!1s0x600109e18f988621:0xb9658dcdd20ff1bf,,
Katsukura Shijo Higashinotoin,,https://www.google.com/maps/place/Katsukura+Shijo+Higashinotoin/data=!4m2!3m1!1s0x6001089a10140001:0x1aef905e335a0f5a,,
Katsukura Shijo Teramachi,,https://www.google.com/maps/place/Katsukura+Shijo+Teramachi/data=!4m2!3m1!1s0x600108924b00337d:0x1628dc527e3d4e0c,,
Café Amazon,,https://www.google.com/maps/place/Caf%C3%A9+Amazon/data=!4m2!3m1!1s0x600108b67ed79ef1:0xec6d82e177812d8c,,
